,pubmedID,ArticleTitle,AbstractText,PubYear,PubMonth
1568,941054,Nephropathy caused by methicillin therapy for staphylococcal septicemia.,"Nephropathy, eosinophilia and fever were observed in an 18-year-old man being treated for staphylococcal septicemia. Parenteral challenge with suspected sensitizing agents confirmed methicillin as the likely offender. Review of the literature relating to methicillin-induced nephropathy suggests a hypersensitivity origin for this disorder, but immunologic and ultrastructural investigation to date has failed to elucidate pathogenesis.",1976,7
1569,9413296,Methysergide-induced retroperitoneal fibrosis: successful outcome and two new laboratory features.,"A 25-year-old woman sought medical attention because of iliocaval manifestations of retroperitoneal fibrosis while she was taking methysergide. Laboratory studies yielded substantially increased serum procollagen III levels and anticardiolipin antibodies accompanied with anti-beta(2) glycoprotein I, findings not previously described with this disorder. Clinical and laboratory manifestations resolved after cessation of methysergide therapy.",1997,12
1570,9426968,Vitiligo associated with alpha-interferon in a patient with chronic active hepatitis C.,We report a case of vitiligo that occurred during the second month of interferon alpha 2a therapy for chronic active hepatitis C. The patient received the interferon for four months.,1997,12
1571,9433539,Agranulocytosis associated with ticlopidine: a possible benefit with filgastim.,"Ticlopidine is an oral antiplatelet agent frequently utilized in the treatment of cerebrovascular disease and is rarely associated with severe bone marrow suppression, typically aplastic anemia. Reports in the literature of isolated agranulocytosis are few, although they may be associated with significant morbidity and mortality. A case is reported of an elderly woman who developed febrile agranulocytosis several weeks after commencing ticlopidine but who had a favorable outcome after cessation of that drug and treatment with filgastrim.",0,0
1572,9443627,"Toxicity, pharmacokinetics, and in vitro hemodialysis clearance of ifosfamide and metabolites in an anephric pediatric patient with Wilms' tumor.","We evaluated the in vitro hemodialysis ratio and subsequent toxicity and pharmacokinetics of ifosfamide in an anephric patient with Wilms' tumor.
An in vitro model was used to determine the extraction ratio of ifosfamide by dialysis. The toxicity and plasma concentrations of ifosfamide, chloroacetaldehyde, and 4-hydroxyifosfamide were then determined over 24 h after a single 1.6 g/m2 dose of ifosfamide. Plasma concentrations were also measured before and after ten dialysis sessions during four courses of ifosfamide therapy.
The in vitro hemodialysis model showed that ifosfamide was cleared with an extraction ratio of 86.7+/-0.5% and remained constant even at low concentrations of drug. The mean decrease in vivo following hemodialysis for ifosfamide, chloroacetaldehyde, and 4-hydroxyifosfamide were 86.9%, 77.2%, and 36.2%, respectively. The pharmacokinetic parameters for ifosfamide using model-independent methods were calculated: Vd = 0.23 l/kg, t1/2 = 4.8 h, and ClT = 3.30 l/h per m2. Ifosfamide-associated neurotoxicity was noted within hours of drug administration and improved rapidly following hemodialysis.
The results of our study suggest that the pharmacokinetics of parent ifosfamide may not be substantially altered in patients with renal failure. Hemodialysis was shown to remove ifosfamide, chloroacetaldehyde, and 4-hydroxyifosfamide from the blood stream. Hemodialysis was also shown to reverse ifosfamide-related neurotoxicity.",1998,0
1573,946400,Methyldopa-induced liver injury. Rapid progression to fatal postnecrotic cirrhosis.,"A 55-year-old woman developed symptoms suggestive of hepatitis 12 weeks after first receiving methyldopa for hypertension. Liver biopsy showed chronic aggressive hepatitis with subacute hepatic necrosis. Methyldopa was discontinued, but after exhibiting transient clinical improvement, the patient's condition progressively deteriorated until she died of hepatic failure, in spite of therapy with massive doses of corticosteroids and other nonspecific measures. During the terminal stage, a considerable decrease in the size of the liver was observed. At autopsy, the liver was found to be small, shrunken, and scarred; histological sections demonstrated postnecrotic cirrhosis. Such a rapid and relentless progression of methyldopa-induced liver injury is undoubtedly rare, but it may be prevented by careful supervision of patients who exhibit liver function abnormalities early in the course of therapy.",1976,3
1574,9466030,Acute respiratory depression as a complication of nebulised morphine.,"To present a case of respiratory depression following the administration of nebulised morphine.
A 74-yr-old, 51-kg woman with a history of hypertension controlled with 5 mg.day-1 enalapril and 50 mg.day-1 atenolol was admitted for evaluation of low back pain, loss of appetite, and weight loss. Investigation revealed advanced metastatic disease with a probable primary in the right lung. The patient's pain was well controlled with 10 mg continuous release morphine p.o. three times daily, and 10 mg immediate release morphine p.o. for breakthrough pain as required. During the two weeks following the commencement of this treatment she occasionally complained of shortness of breath. Examination revealed a fully conscious patient with slight dyspnoea and mild wheezing which responded to oxygen 30% and nebulised bronchodilators. An oncological consultation recommended 4 mg nebulised morphine and 4 mg dexamethasone in saline as treatment for the bouts of breathlessness. Approximately 15 min after the first administration of nebulised morphine the patient became markedly bradypneic (respiratory rate: 4-5 bpm), hypotensive (BP 70/40 mmHg), and responded only partially to command. The pupils were pinpoint. The trachea was immediately intubated and the lungs ventilated with oxygen 40% for four hours. Following this occurrence of respiratory depression nebulised morphine was discontinued and no further events occurred.
Patients receiving inhaled morphine should be closely monitored and resuscitation equipment should be readily available.",1998,1
1575,9476721,Acute dystonia with thalamic and brainstem lesions after initial penicillamine treatment in Wilson's disease.,"Dystonia is a common manifestation in Wilson's disease (WD). The striatum, especially the putamen, has been considered to be responsible for dystonia. We reported 3 patients who developed acute generalized dystonia and akinetic rigid syndrome following an initial therapy with d-penicillamine 125-500 mg daily. Brain MRI revealed lesions in the thalamus and the brainstem, particularly the tegmentum, and the basis pontis in addition to the basal ganglion lesions. After the episode, 1 patient continued to receive d-penicillamine therapy and 2 changed to zinc sulfate treatment. The generalized dystonia improved in the following 3 months and 3 years respectively in 2 patients. Follow-up brain MRI of these 2 patients revealed that the lesions in the thalamus and brainstem disappeared or resolved almost completely. From these data, acute generalized dystonia with brainstem and thalamic lesions may occur in WD patients after an initial d-penicillamine therapy. Furthermore, the dystonia may resolve following the disappearance of the brainstem and thalamic lesions.",1998,0
1576,9491301,Ballistic movements due to ischemic infarcts after intravenous heroin overdose: report of two cases.,"Stroke is an infrequent but recognized complication of heroin addiction. Two heroin addicts, aged 34 and 19 years, developed ballistic movements after intravenous heroin overdose. Patient 1 presented bilateral ballism 1 week after intravenous heroin injection. Magnetic resonance imaging (MRI) showed bilateral ischemic lesions of the globus pallidus, suggesting a generalized cerebral hypoxia during the comatose state as pathogenic mechanism. Patient 2 presented an acute left hemiballismus when consciousness was restored with naloxone. MRI demonstrated an ischemic infarct in the right striatum. An embolic mechanism of stroke was suspected in this patient, considering the normal results of blood analysis, echocardiogram and cerebral arteriograms. Ballistic movements ceased after administration of haloperidol; both patients remained without abnormal movements thereafter.",1997,12
1577,9494448,Anaphylaxis to intravenous cyclosporine and tolerance to oral cyclosporine: case report and review.,"Hypersensitivity reactions to cyclosporine are rare. The mechanism of the reaction and guidelines for subsequent use of cyclosporine are not well defined.
To investigate the mechanisms involved in hypersensitivity reactions to cyclosporine and determine the feasibility of future cyclosporine use.
We report a patient who had an anaphylactic reaction during the intravenous infusion of cyclosporine. Skin-prick tests were performed for the antibiotics he received earlier in the day and the cyclosporine. A MEDLINE search identified all the reported cases of hypersensitivity reactions to cyclosporine. Each was analyzed to determine a mechanism of the hypersensitivity reaction and subsequent management outcomes.
Intradermal tests to intravenous cyclosporine formulation (1 mg/mL) were positive in the patient and negative in two controls. There was no reaction to the antibiotics. The literature search revealed 22 cases of hypersensitivity reaction to cyclosporine. The clinical setting and diagnostic evaluation suggest multiple mechanisms for the hypersensitivity response. All seven patients who were given an oral formulation of cyclosporine tolerated it well after a reaction to the intravenous infusion. Two patients who initially reacted to an oral solution formulation subsequently tolerated the corn oil-based soft gelatin capsule.
Hypersensitivity reactions to cyclosporine are due to Cremophor EL. There is direct and indirect evidence for various immunologic and nonimmunologic pathways precipitating the reaction. This case suggests a role for IgE in the hypersensitivity reaction. Fortunately, a hypersensitivity reaction to one formulation of cyclosporine does not preclude use of a different formulation. The corn oil-based soft gelatin capsule appears to be the safest formulation.",1998,2
1578,9497597,Prothipendylhydrochloride-induced priapism: case report.,We present the first case of a patient with priapism after oral intake of the phenothiazine prothipendylhydrochloride.,1997,12
1579,9509511,Veno-occlusive disease-like hepatotoxicity in two children receiving chemotherapy for Wilms' tumor and clear cell sarcoma of kidney.,"We report two pediatric cases who developed veno-occlusive disease-like hepatotoxicity while receiving chemotherapy for Wilms' tumor and clear cell sarcoma of kidney. The chemotherapeutics, including vincristine, actinomycin D, and epirubicin in case 1 and vincristine and actinomycin D in case 2, were given before the hepatotoxicity developed. Other possible causes of hepatotoxicity were excluded. Recovery was observed with supportive therapy after 2 and 1 weeks, respectively. After recovery, the children tolerated continued chemotherapy without any decrease in the doses of drugs. We conclude that vincristine and actinomycin D were the cause of this rare from of hepatotoxicity and that chemotherapy for the underlying malignant disease could be given safely after clinical recovery.",0,0
1580,9512187,Raynaud's phenomenon and acral necrosis after chemotherapy for AIDS-related Kaposi's sarcoma.,"Raynaud's phenomenon is a common vascular side effect of chemotherapy drug regimens. Chemotherapy-induced Raynaud's phenomenon leading to acral gangrene has rarely been reported. In this report, one patient who developed gangrene after bleomycin and vincristine/vinblastine chemotherapy for AIDS-related Kaposi's sarcoma and another HIV-infected patient who exhibited symptoms of severe Raynaud's phenomenon related to the same regimen are presented. Because the combination of bleomycin and vinca alkaloids is commonly used for the treatment of AIDS-related Kaposi's sarcoma, clinicians should be aware of the risk of provoking acral necrosis in patients who develop Raynaud's phenomenon under chemotherapy. The literature is reviewed, and clinical symptoms, pathophysiology, and treatment options are discussed.",1998,1
1581,9517515,Development of essential thrombocythemia in a patient treated with interferon alfa and pentostatin for hairy cell leukemia.,A patient is reported who developed essential thrombocythemia after successful treatment for hairy cell leukemia. He was initially treated with interferon alfa and subsequently relapsed within one year of treatment. His diagnosis was reconfirmed and then treated with Pentostatin. Six years after treatment he had a progressive increase in the platelet count and was diagnosed as essential thrombocythemia. Second cancers including various types of hematological malignancy have been reported in patients with hairy cell leukemia treated with chemotherapy or interferon alfa. These malignancies may represent either a new clonal disorder or a complication of drug treatment. This is the first report of a chronic myeloproliferative disorder following successful treatment of hairy cell leukemia.,1998,1
1582,9527943,Effect of beta-blockade on symptomatic dexamethasone-induced hypertrophic obstructive cardiomyopathy in premature infants: three case reports and literature review.,"The objective of this study was to assess the efficacy of beta-blockade on clinically significant left ventricular outflow tract obstruction in premature infants treated with dexamethasone because of bronchopulmonary dysplasia.
Case reports are presented of three premature infants (mean gestational age 27 weeks) cared for in the intensive care nursery in whom clinically significant septal hypertrophy and left ventricular outflow tract obstruction developed during dexamethasone treatment for bronchopulmonary dysplasia. The infants were treated with oral propranolol. Serial physiologic and echocardiographic parameters were followed. Physiologic data were analyzed with an analysis of variance, with the Kruskal-Wallis test used for nonparametric data. A p value < 0.05 was considered statistically significant.
Oral administration of the beta-blocker propranolol resulted in clinical and echocardiographic improvement of the left ventricular outflow tract obstruction. One patient had a lower average heart rate and two patients had lower average mean blood pressure values during propranolol treatment, none of which was clinically significant. None of the patients had worsening of the respiratory status.
beta-blockade treatment was well tolerated and may be beneficial in relieving symptomatic steroid-induced left ventricular outflow tract obstruction in premature infants.",0,0
1583,9533061,Clostridium difficile toxin-induced colitis after use of clindamycin phosphate vaginal cream.,"To report a case of toxin-positive Clostridium difficile-induced colitis (CDIC) after use of clindamycin phosphate vaginal cream.
A 25-year-old postpartum white woman developed multiple watery stools and abdominal cramping on day 6 of therapy with clindamycin vaginal cream for bacterial vaginosis. She received no other concomitant medications. The patient's stool sample was found to be positive for the C. difficile toxin. Due to the costs and risks of standard therapy, we decided to manage the patient supportively. Complete resolution of the diarrhea occurred shortly thereafter.
No published clinical studies in patients receiving clindamycin vaginal cream for bacterial vaginosis have documented C. difficile toxin in stool samples of patients with diarrhea. Approximately 5-6% of intravaginal clindamycin is absorbed in the bloodstream, making systemic effects possible.
This report indicates clindamycin phosphate vaginal cream as the most probable cause of CDIC due to the temporal relationship between the occurrence of diarrhea and clindamycin administration, lack of concomitant medications, and documentation of C. difficile toxin.",1998,3
1584,9545161,Fatal toxic epidermal necrolysis related to lamotrigine administration.,"Toxic epidermal necrolysis (TEN) and Stevens-Johnson syndrome (SJS) are severe life-threatening dermatologic conditions. To date, eight cases of TEN and one of SJS related to lamotrigine administration have been reported in the literature. Most patients were also taking concomitant valproic acid. It was hypothesized that valproic acid may interfere with glucuronidation of lamotrigine, leading to increased serum lamotrigine levels, or perhaps alter the drug's metabolism, resulting in accumulation of a toxic intermediate metabolite. Ultimately, this may possibly predispose a patient to increased dermatologic reactions, including TEN. A 54-year-old man developed TEN 4 weeks after beginning lamotrigine for complex partial seizures related to a glioblastoma multiforme brain tumor. The patient had also been taking concomitant allopurinol and captopril for more than 4 years with no complications, and valproic acid 3 months before the cutaneous event. Despite aggressive intensive care management, the patient died 17 days from the onset of symptoms due to multiple organ failure. Administration of lamotrigine, especially in combination with valproic acid, may lead to the development of TEN.",0,0
1585,9550246,A syndrome of increased affect in response to risperidone among patients with schizophrenia.,"Six of 13 outpatients with schizophrenia who participated in a ten-week open trial of risperidone had an initial good response to the medication followed by development of intolerable affect, including feelings of agitation and depression and periods of crying and insomnia. Patients who developed this syndrome did not differ from other patients in baseline ratings on the Brief Psychiatric Rating Scale (BPRS) and the Scale for the Assessment of Negative Symptoms, except that patients who developed the syndrome had a significantly higher mean baseline rating on the BPRS anxiety subscale. The authors suggest that risperidone may increase affect in patients with schizophrenia and that some patients, especially those with anxiety, may have difficulty managing the increase.",1998,4
1586,9554064,Putaminal infarct in methanol intoxication: case report and role of brain imaging studies.,"Methanol toxicity can cause severe central nervous system insult in which a characteristic pattern of bilateral putaminal injury is noted on brain imaging studies. We present a fatal case of subacute methanol toxicity with associated diffuse brain involvement, including bilateral putaminal necrosis and cerebral edema with ventricular compression. Theoretical basal ganglia toxicologic mechanisms of methanol poisoning are reviewed, and the role of brain imaging studies will regard to diagnosis, prognosis and impact on management is discussed.",1998,4
1587,9562211,Risperidone-induced tardive dyskinesia.,This report presents a potential case of risperidone-induced tardive dyskinesia. A 28 year old white schizophrenic male has been under risperidone monotherapy for about one year when he developed dyskinetic movements. There was only a short term exposure to classic antipsychotics prior to risperidone administration.,1998,3
1588,9579301,Increased ocular pressure in two patients with narrow angle glaucoma treated with venlafaxine.,"Venlafaxine blocks the specific monoamine transporters and is devoid of significant action on muscarinic cholinergic receptors. To our knowledge, no cases of glaucoma have been reported so far. Because pain perception involves both serotonergic and noradrenergic mechanisms, venlafaxine also may be useful in neuropathic pain therapy. We report on two patients with narrow angle glaucoma affected by chronic pain. When venlafaxine treatment was begun, their ocular pressure was steadily around 17-18 mmHg. Venlafaxine was chosen (daily dose 75 mg) because this drug is claimed not to bind on muscarinic cholinergic receptors. However, 4 days later the ocular pressure of the first patient increased to 22 mmHg, which led to suspension of the drug. The ocular pressure of the second patient was 18.5 mmHg after a week, 21 mmHg after 2 weeks, and 23 mmHg after 16 days. One week after suspension, ocular pressure of the patients was 17 and 18 mmHg, respectively. Possible explanations of this ocular effect are offered: pharmacokinetic interference on the drugs used in glaucoma treatment, in vivo action on the muscarinic receptor, indirect effect via dopaminergic receptors, or direct effect on the ocular sympathetic postganglionic neurones. In any case, from a clinical viewpoint, caution should be used when giving venlafaxine to patients with narrow-angle glaucoma, and ocular pressure must be monitored.",0,0
1589,95811,Glomerulonephritis in procainamide induced lupus erythematosus: report of a case and review of the literature.,"A 61-year-old man developed clinical lupus syndrome with positive antinuclear antibody, positive lupus erythematosus (LE) cell preparation, and diffuse proliferative glomerulonephritis following 26 months of procainamide therapy. He was treated sequentially with prednisone and azathioprine (2 weeks), decreasing doses of prednisone alone (21 months), and no immunosuppressive drugs (10 months). Coincidental with this treatment, the immunopathology of the glomerulonephritis improved dramatically, dramatically, renal function returned almost to normal, and both antinuclear antibody and LE cell preparation became negative. The course of this patient's renal disease contrasts sharply with diffuse proliferative glomerulonephritis of idiopathic systemic lupus, and suggests that this rare complication of procainamide therapy may have a favorable course.",1979,4
1590,9602881,Drug-induced linear IgA disease with antibodies to collagen VII.,"Linear IgA disease (LAD) is characterized by circulating and tissue-bound IgA antibodies against heterogeneous antigens in the cutaneous basement membrane zone. In most cases the cause is unknown, but a minority of cases has been drug induced. We report a 76-year-old man who developed an acute blistering eruption following high-dose penicillin treatment for pneumococcal septicaemia. Indirect immunofluorescence demonstrated dermal binding IgA antibodies, and Western blotting of serum showed reactivity with a 250 kDa dermal antigen corresponding to collagen VII of anchoring fibrils. Indirect immunoelectron microscopy showed antibody labelling in the lamina densa and sublamina densa zone. This is one of the few cases of drug-induced LAD in which the target antigen profile has been characterized, and the first in which the antigen has been shown to correspond to collagen VII.",1998,2
1591,961329,Suxamethonium apnoea terminated with commercial serumcholinesterase.,"A case of prolonged suxamethonium apnoea successfully terminated by the infusion of a commercial preparation of serumcholinesterase is reported. The patient appeared to be homozygous for the dibucaine resistant gene, having only 15% of normal activity in his serum. His dibucaine number was 21, and the Michaelis constant was 5.5 times that of normal sera. One and a half hours after receiving 110 mg suxamethonium for oesophagoscopy, the patient was still apnoeic with no response to ulnar nerve stimulation. Intravenous administration of 90 mg commercial serumcholinesterase, the equivalent to 1000 ml fresh human plasma, restored twitch and tetanic responses and the patient could lift his head 15 min after the beginning of the enzyme injection. The serumcholinesterase activity of the patient's serum increased by 55% (from 15% to 70%) following the injection. This rise was halved over the next 8 days.",1976,0
1592,9619226,Cardiac arrest associated with sulprostone use during caesarean section.,"Sulprostone, a synthetic prostaglandin with potent uterotonic action, has been shown to have a low complication rate in a large series. We present a case in which a bolus intravenous injection of sulprostone 30 micrograms was administered to treat postpartum haemorrhage during caesarean section. The 38-year-old patient with no previous cardiac or smoking history developed complete heart block, ventricular fibrillation and subsequent asystole. Cardiopulmonary resuscitation was successful after 45 minutes. Post resuscitation there was no myocardial infarction and she had complete neurological recovery. We postulate that the bolus of sulprostone resulted in possible coronary spasm that resulted in cardiac arrest.",1998,6
1593,9627209,Lamotrigine toxicity secondary to sertraline.,"Blood level monitoring helps to determine the therapeutic and toxic ranges for anticonvulsants and antidepressants. We investigated initial drug-drug interactions between lamotrigine and sertraline. We report on case histories of two epileptic patients who were initially on lamotrigine and to whom sertraline was added to control psychiatric features. In case 1, a total daily dose of 25 mg sertraline, with nondetectable sertraline and desmethylsertraline blood levels, resulted in a doubling of the lamotrigine blood level with symptoms of toxicity. In case 2, a 25 mg reduction in the total daily dose of sertraline resulted in halving of the lamotrigine blood level even though the lamotrigine dosage was increased by 33%. This shows that sertraline has potent interactions with lamotrigine metabolism. The authors hypothesize that inhibition of glucuronidation is responsible. Clinicians are advised to observe for symptoms of toxicity and to do serial blood levels to monitor this interaction.",1998,4
1594,9634122,Prolonged prostate-specific antigen response in flutamide withdrawal syndrome despite disease progression.,"Flutamide withdrawal syndrome is characterized by a decrease in prostate-specific antigen (PSA) after flutamide withdrawal in a subset of patients with progressing metastatic carcinoma of the prostate. It is generally hypothesized to be due to a point mutation in the androgen receptor that allows the antiandrogen to function as an agonist, leading to a dramatic and rapid PSA response. We describe a patient with androgen-independent prostate cancer in whom PSA continued to decrease for a period of 15 months after flutamide withdrawal. With continuing fall in PSA, the patient had unequivocal progression of disease seen on bone scan. This case illustrates the potential decoupling of PSA response from disease status in flutamide withdrawal. It also illustrates the need for continued clinical evaluation of patients with metastatic prostate cancer, even in the face of PSA response.",1998,6
1595,9642842,Anaphylactic reaction to oral prednisone: a case report and review of the literature.,Reports of corticosteroid anaphylactic reactions are rare in the medical literature. We describe the case of a nonatopic 17-year-old girl with bronchial asthma and aspirin intolerance who developed a dramatic anaphylactic reaction to oral prednisone. She recovered with shock therapy and intravenous administration of diphenhydramine and hydrocortisone. Intradermal testing with a wide range of steroid preparations gave positive results to prednisone. No reactions occurred to methylprednisolone and hydrocortisone. This case and the brief review of the literature which follows emphasize the danger of prednisone administration in patients who have asthma and a history of drug intolerance.,0,0
1596,9647315,Persistent loss of tyrosine hydroxylase immunoreactivity in the substantia nigra after neuroleptic withdrawal.,"A 37 year woman developed neuroleptic induced parkinsonism that persisted long after the drug had been discontinued. This prompted a study of the effect of an eight week course of haloperidol (HAL) followed by two week withdrawal, on dopaminergic neurons of the substantia nigra in rats. Animals treated with HAL showed a highly significant 32%-46% loss of tyrosine hydroxylase (TH) immunoreactive neurons in the substantia nigra, and 20% contraction of the TH stained dendritic arbour. Neuroleptic drug induced downregulation of nigral dopaminergic neurons may help to explain the persistent parkinsonism found in many patients after withdrawal of medication.",1998,6
1597,9651465,Desensitization to pancreatic enzyme intolerance in a child with cystic fibrosis.,"Pancreatic enzyme is essential in the treatment of cystic fibrosis (CF), but intolerance to it occasionally occurs. We encountered a child who was intolerant to multiple commercially available preparations of pancreatic enzymes and, hence, desensitization was attempted, with success.
A 33-month-old girl was diagnosed with CF at 6 months of age. Initially, she was started on Pancrease MT 16, which was subsequently discontinued because fecal fat studies were normal and she seemed to do well on Nutramigen and vitamin supplements. At 29 months of age, she developed diarrhea with bulky stools and weight loss. A fecal fat 72-hour study revealed a coefficient of absorption of 50%. She was treated with Pancrease MT 16, but had consistent vomiting 1 to 2 hours after administration of enzymes. The vomiting occurred on switching to different pancreatic enzymes preparations, ie, Creon 10, Viokase, and Pancrease MT 16. Vomiting occurred even with small doses of enzymes disguised in food. She had no history suggestive of gastroesophageal reflux, peptic ulcer, or pork allergy, and no vomiting on days when enzymes were not given. This was suggestive of type I hypersensitivity reaction. Pancreatic enzymes were discontinued, and she was given a low-fat, high-carbohydrate diet with satisfactory weight gain.
Double-blind, placebo-controlled titrated oral challenges with pancreatic enzymes resulted in definite vomiting within 1 to 1.5 hours after challenges with Viokase and Pancrease MT 16, but not with placebo. Rush oral desensitization with Viokase solution was attempted, starting with 5 mg, and the dose was doubled every 20 minutes, aiming to reach a cumulative dose of 700 mg. However, the child vomited when a cumulative dose of 315 mg was reached. Another trial of slower desensitization was done using Pancrease MT 16 (1 capsule: 16 000 U of lipase, 48 000 U of amylase, and 48 000 U of protease), starting with 1/4 capsule per day, with increments of 1/4 capsule every 3 days, until an entire capsule was reached by day 10, then increased by approximately 1/2 capsule every 4 days until reaching the therapeutic dose of 1 capsule with each meal by day 25.
The patient tolerated this fairly well and has been on this treatment and regular diet for >1 year, without any adverse reaction. This illustrates a rare case of gastrointestinal adverse reaction to pancreatic enzymes that was treated successfully with desensitization.
Pancreatic enzyme intolerance, although rare, would be a major problem in the management of patients with CF. Hence, desensitization would be essential and may be accomplished successfully using the protocol described in this report.",1998,7
1598,9655664,Acute valproate ingestion induces symptomatic methemoglobinemia.,"A wide variety of clinical outcomes have been described after acute valproate ingestion. We report for the first time the development of symptomatic methemoglobinemia after an acute ingestion of divalproex sodium (Depakote), resulting in serum concentrations 10 times greater than the therapeutic range. The methemoglobinemia was readily reversed with the administration of methylene blue. Valproate elimination was enhanced by the continuous infusion of activated charcoal. The patient recovered without permanent sequelae.",1998,6
1599,9660541,Mitomycin C-related hemolytic uremic syndrome in cancer patients.,"In rare cases mitomycin C (MMC) may induce cancer-associated hemolytic uremic syndrome, which is characterized by hemolytic anemia, thrombocytopenia and progressive renal failure. Treatment possibilities of this multisystem disease up to now remain disappointing. We report a case of MMC-related hemolytic uremic syndrome, and discuss the etiologic parameters, clinical aspects, prognosis and treatment modalities of this severe syndrome.",1998,6
1600,9671138,Severe respiratory syncytial virus pulmonary infection in a patient treated with fludarabine for chronic lymphocytic leukemia.,"Fludarabine phosphate is currently proposed for the treatment of refractory chronic lymphocytic leukemia (CLL). CD4 T-lymphocyte depletion, myelosuppression, and subsequent severe infections are the major side effects of fludarabine phosphate therapy. We report here on a heretofore undescribed respiratory syncytial virus (RSV) infection in a patient with a long-standing history of refractory CLL that was treated with fludarabine phosphate. The patient developed a severe infection of the upper and lower respiratory tract with bilateral pulmonary infiltrates and severe hypoxemia. RSV was the only infectious agent that could be isolated, and treatment with aerosolized ribavirin lead to prompt improvement of all symptoms.",1998,5
1601,9674820,Serotonin syndrome induced by transitioning from phenelzine to venlafaxine: four patient reports.,"With the use of the newer antidepressants beyond the traditional tricyclics and monoamine oxidase inhibitors, newer options in headache prophylaxis are provided as well as the potential for undesirable and even potentially life-threatening interactions between medications. In this article, four patient reports of a specific interaction--the serotonin syndrome--are presented. These events resulted from transitioning headache patients from an older antidepressant (phenelzine) to a newer antidepressant (venlafaxine).",1998,7
1602,9681211,Leukaemoid monocytosis in M4 AML following chemotherapy and G-CSF.,We describe a patient with M4 AML treated with standard chemotherapy followed by G-CSF who developed marked monocytosis on day 8 of G-CSF therapy. Fourteen days after discontinuation of G-CSF therapy his monocyte counts returned to normal levels and a marrow aspirate showed a reduction in blast cells. He received further chemotherapy without G-CSF and without any recurrence of the raised leucocyte count but failed to achieve full remission. Although this G-CSF-driven leucocytosis was alarming it did not appear to have adversely affected the patient's prognosis.,1998,2
1603,968449,Chromosome abnormalities after chlorambucil therapy of polycythaemia vera.,"Bone marrow chromosomes were studied in 2 patients with polycythaemia vera (PV) at the time of diagnosis and several times subsequently during therapy with chlorambucil. Both patients were normal in the initial study, but later developed pathological diploid cell lines with structural chromosome abnormalities. Case 1 presented after 25 months of myelosuppressive therapy a deletion of chromosome no. 12, del (12) (p11), in 60% of the diploid cells. 10 months later all studied cells in the marrow contained this deletion. In addition, the deletion of chromosome no. 20, described as characteristic for PV, was found in 3 cells. Case 2 demonstrated after 40 months on chlorambucil the presence of a balanced translocation, t (1;5) (p36;q31) in 90% of the cells. In none of the patients were any definite clinical, laboratory or morphological signs of an approaching leukaemic transformation of the polycythaemic disorder present.",1976,9
1604,9695308,Antineutrophil cytoplasmic antibody-positive crescentic glomerulonephritis associated with propylthiouracil therapy.,A teenage girl with crescentic glomerulonephritis had antineutrophil cytoplasmic antibody (ANCA) detected after she had received propylthiouracil (PTU) for hyperthyroidism without cutaneous vasculitis. ANCA was detected on admission; renal biopsy showed crescentic glomerulonephritis with focal necrotizing glomerulonephritis but no immune deposits. Administration of steroid and decreasing the dose of PTU produced a good clinical response and the ANCA disappeared. It was concluded that ANCA is closely related to the pathogenesis of crescentic glomerulonephritis and that treatment with PTU appeared to induce ANCA.,1998,6
1605,9701106,A drug interaction between zafirlukast and theophylline.,"The apparent low adverse effect profile of the new drug zafirlukast has made it an attractive choice in the treatment of asthma. We present the first case (to our knowledge) of a potentially serious drug-drug interaction between zafirlukast and theophylline. A 15-year-old white girl with asthma had been taking theophylline (Slo-bid, Rhone-Poulenc Rorer Pharmaceuticals Inc, Collegeville, Pa) (300 mg twice daily), with drug levels of approximately 61 micromol/L (11.0 microg/mL) for several years. Recently, her serum theophylline levels had increased to the toxic range (133.2 micromol/L [24 microg/mL]) shortly after the addition of zafirlukast (Accolate, Zeneca Pharmaceuticals, Wilmington, Del) to her regimen. Attempts were made to stop and then restart the theophylline therapy at progressively lower doses; however, with each attempt, the patient's reaction to the drug became more toxic, with serum theophylline levels ranging between 99.9 and 149.9 micromol/L (18 and 27 microg/mL). So this potential drug-drug interaction could be investigated, the patient stopped taking both drugs for 1 week. Then, she again started taking theophylline (75 mg twice daily), and over 2 days reached a steady state serum theophylline level of 12.8 to 14.4 micromol/L (2.3-2.6 microg/mL). On the third day, zafirlukast (20 mg twice daily) was reintroduced to the regimen, and the theophylline therapy was continued. By the fifth day, a dramatic 7-fold increase was seen in the serum theophylline level (101.6 micromol/L [18.3 microg/mL]). The areas under the curve for theophylline alone and theophylline with zafirlukast were 29.3 and 197 (mg x h)/L, respectively. One explanation for the noted increase in the theophylline level is that metabolism occurs mainly by cytochrome P450 (CYP 1A2), an enzyme that is known to be inhibited with high concentrations of zafirlukast. Although the current metabolism of the 2 drugs in combination is poorly understood, the potential for serious interactions seems to exist in the rapidly growing population of persons with asthma, for whom they may be prescribed. The noted increase in the theophylline level after zafirlukast administration is in contrast to the original reports by the manufacturer. Therefore, we recommend that physicians evaluate serum theophylline levels closely when prescribing the 2 drugs in combination.",0,0
